month,date,vol,vol_unadj,income_level_group
227,2018-12,2176573010.86382,2127498407.070706,Low
227,2018-12,45325469529.10247,42704577473.23231,Middle
227,2018-12,56064921539.77983,52653835027.77777,High
228,2019-01,15760248136.61882,12035636902.02021,Moderate
228,2019-01,2417912036.653701,1985409940.909091,Low
228,2019-01,44133860126.73563,33773255900.50505,Middle
228,2019-01,58750428283.61752,43810214903.03027,High
229,2019-02,18233186444.17936,14358646382.32323,Moderate
229,2019-02,2280954818.250147,1740987826.262626,Low
229,2019-02,52886238259.32138,41334226720.20203,Middle
229,2019-02,65951125123.34628,51529691225.25249,High
230,2019-03,16834742589.50572,16497186000.50505,Moderate
230,2019-03,2331658842.05097,2267026306.060606,Low
230,2019-03,53225840859.857,51236489844.94949,Middle
230,2019-03,68056646132.04025,66500229256.56563,High
231,2019-04,20217852821.63997,20056123466.16161,Moderate
231,2019-04,2617709264.663832,2581184553.535353,Low
231,2019-04,61042439397.32137,61319489157.07072,Middle
231,2019-04,79999553786.782,77616036632.32326,High
232,2019-05,21888255474.22394,23321727786.86868,Moderate
232,2019-05,2729557207.637477,2992779662.626262,Low
232,2019-05,66166148900.1112,71084896288.38383,Middle
232,2019-05,85751846324.75388,93280772915.15152,High
233,2019-06,20217363956.43988,23242866830.30302,Moderate
233,2019-06,2771838125.509811,3205051256.060608,Low
233,2019-06,62586019254.01147,70424648782.32323,Middle
233,2019-06,84075474141.12672,94217347739.89897,High
234,2019-07,101250745094.6338,112728055964.1414,High
234,2019-07,23708062028.68555,26014217039.39394,Moderate
234,2019-07,3418890870.506509,3635040907.070707,Low
234,2019-07,73566886953.50981,80526301601.01013,Middle
235,2019-08,103706110415.1142,115938801184.3434,High
235,2019-08,24391504041.12413,27762643482.82829,Moderate
235,2019-08,2890168683.691679,3150871449.494949,Low
235,2019-08,76581565377.71075,86466944476.26262,Middle
236,2019-09,114488481966.4436,122816333766.6667,High
236,2019-09,25568782234.47229,26725002973.73739,Moderate
236,2019-09,2878795091.505325,3120360511.111111,Low
236,2019-09,82504812805.89713,87919930910.60609,Middle
237,2019-10,117157589400.0648,128048101422.7272,High
237,2019-10,26974991204.11383,28554402589.39394,Moderate
237,2019-10,3046197287.628998,3248305385.353534,Low
237,2019-10,83313194261.95511,89716132319.69702,Middle
238,2019-11,117565626570.4125,111228886938.3839,High
238,2019-11,26420637032.99382,24795767404.54545,Moderate
238,2019-11,3392709299.069518,3109698915.151515,Low
238,2019-11,82981436551.21031,78553723127.77776,Middle
239,2019-12,118821787740.1304,111379185860.1011,High
239,2019-12,25804292806.88343,24989861971.71719,Moderate
239,2019-12,3711290752.472319,3610587072.727274,Low
239,2019-12,85140680308.30263,80078474681.81821,Middle
240,2020-01,122725437505.7178,93390779318.18187,High
240,2020-01,27886615009.08065,21371826076.26263,Moderate
240,2020-01,3432487735.46759,2805180255.555557,Low
240,2020-01,87461537802.41351,68407009953.03033,Middle
241,2020-02,128282866940.0236,103220651753.5354,High
241,2020-02,27795854825.86515,22170021385.85858,Moderate
241,2020-02,3215586327.378954,2497675980.30303,Low
241,2020-02,91863218931.07907,73953994235.3535,Middle
242,2020-03,142559763279.011,144609260888.3839,High
242,2020-03,29371370336.77299,29398293022.72726,Moderate
242,2020-03,3347093509.362824,3270168413.131313,Low
242,2020-03,95848426945.53844,94941375929.79799,Middle
243,2020-04,107685160418.7078,110028714175.2526,Middle
243,2020-04,171967134035.7393,169619765061.1111,High
243,2020-04,30404754350.11762,30203880963.63637,Moderate
243,2020-04,3403683506.026906,3389951821.717172,Low
244,2020-05,105412987123.0399,112421463096.4647,Middle
244,2020-05,158070781194.2835,169910923603.5353,High
244,2020-05,30853149584.00181,32846592190.9091,Moderate
244,2020-05,3361997125.390516,3688821774.747474,Low
245,2020-06,116498317195.0468,128868972557.5759,Middle
245,2020-06,174275430942.5187,193881550019.697,High
245,2020-06,31480539902.18735,35940318701.51514,Moderate
245,2020-06,3595148288.786973,4103104835.353536,Low
246,2020-07,124693999013.5183,134100454938.8889,Middle
246,2020-07,185667581967.3995,200666637452.5251,High
246,2020-07,35962667158.76145,39358517979.29292,Moderate
246,2020-07,3969685913.093185,4253098517.171716,Low
247,2020-08,126074474136.7787,139734158282.3232,Middle
247,2020-08,185871051417.3126,204654319697.4748,High
247,2020-08,34828988047.71011,39187879737.87877,Moderate
247,2020-08,4012094173.092199,4353582891.41414,Low
248,2020-09,133132478243.2653,140918587741.9192,Middle
248,2020-09,200087952566.6306,216266285491.4142,High
248,2020-09,39978225322.24426,42105395783.33331,Moderate
248,2020-09,4622296106.780496,5081126635.858586,Low
249,2020-10,144511564436.7635,154507747555.0506,Middle
249,2020-10,216590658500.5996,232717648808.0809,High
249,2020-10,40787682930.20078,42829452199.49496,Moderate
249,2020-10,4803775746.675976,5084944466.666666,Low
250,2020-11,146499440015.9026,137256166505.5555,Middle
250,2020-11,215542182276.3937,199870542570.202,High
250,2020-11,41199159449.79116,38261425382.82829,Moderate
250,2020-11,4404445001.024314,3981563602.020203,Low
251,2020-12,156629265547.4418,149074512426.2626,Middle
251,2020-12,234364621706.5443,222197258314.6464,High
251,2020-12,44479983230.07176,43132268323.23234,Moderate
251,2020-12,5797309988.843862,5574740520.707073,Low
252,2021-01,164165405439.7242,129252551909.0909,Middle
252,2021-01,255971817600.7639,196548608322.7274,High
252,2021-01,47504589667.12325,36401247214.1414,Moderate
252,2021-01,4836350175.124948,3898210881.818182,Low
253,2021-02,158792046365.3808,131006344290.9091,Middle
253,2021-02,254175543270.9555,209336639410.606,High
