month,date,vol,vol_unadj,age_group
144,2012-01,57676361407.83607,47318164584.34345,Age 30-44
144,2012-01,64752331224.71457,62331649486.86871,Age 45-64
144,2012-01,9570220934.687431,6506583276.262626,Younger than 30
145,2012-02,11792993001.90146,8132606302.020201,Younger than 30
145,2012-02,15474341626.64797,14927878843.43434,Age 65 and older
145,2012-02,70532960351.28679,56844907976.26264,Age 30-44
145,2012-02,79947280019.3069,70190058606.06061,Age 45-64
146,2012-03,10968721191.25983,10287669772.72727,Younger than 30
146,2012-03,14308450341.46736,14828265835.35353,Age 65 and older
146,2012-03,68577090543.82751,63434322495.9596,Age 30-44
146,2012-03,76401564916.11182,76116314795.95958,Age 45-64
147,2012-04,10057562187.11822,9887917924.747477,Younger than 30
147,2012-04,14706884391.26167,14435626746.46465,Age 65 and older
147,2012-04,62629789572.54662,58204193698.48486,Age 30-44
147,2012-04,72297746648.61081,69443581604.54547,Age 45-64
148,2012-05,10070298699.32446,11010819693.9394,Younger than 30
148,2012-05,15660921722.01528,15217965981.31313,Age 65 and older
148,2012-05,64732379293.65209,64828399374.74747,Age 30-44
148,2012-05,73022961767.54446,71645815844.94952,Age 45-64
149,2012-06,15298131401.92093,14759214544.44445,Age 65 and older
149,2012-06,62953890607.38672,70502129576.76767,Age 30-44
149,2012-06,73202320681.36343,75590777669.69695,Age 45-64
149,2012-06,9859536282.516453,11402368857.57576,Younger than 30
150,2012-07,10310673744.48206,11651823343.43434,Younger than 30
150,2012-07,17012198826.59981,16602867453.0303,Age 65 and older
150,2012-07,66157341703.06299,71680340125.75757,Age 30-44
150,2012-07,75901837676.75441,76737816439.39397,Age 45-64
151,2012-08,11758454646.68566,12982738640.90909,Younger than 30
151,2012-08,16971017708.96825,17727657901.0101,Age 65 and older
151,2012-08,74556160498.43976,83703813525.25255,Age 30-44
151,2012-08,87128296952.37811,90916889801.51514,Age 45-64
152,2012-09,10936231557.28122,11499703402.0202,Younger than 30
152,2012-09,16181435555.23713,15678719005.0505,Age 65 and older
152,2012-09,68671240974.93236,69300398610.60606,Age 30-44
152,2012-09,80253137477.1685,79419322177.27274,Age 45-64
153,2012-10,11499994819.92313,12662056346.9697,Younger than 30
153,2012-10,18048162456.27776,18932252996.46465,Age 65 and older
153,2012-10,73909832620.12305,80663536225.7576,Age 30-44
153,2012-10,85328374674.8775,91079951146.46468,Age 45-64
154,2012-11,11237168525.82088,11486775981.31313,Younger than 30
154,2012-11,17464435576.04872,17081482680.80808,Age 65 and older
154,2012-11,73795741378.85219,76406167933.83838,Age 30-44
154,2012-11,83239962699.86111,85062342007.07072,Age 45-64
155,2012-12,11709455141.82167,12363382678.78788,Younger than 30
155,2012-12,18974399600.95314,19208235148.98989,Age 65 and older
155,2012-12,74982776860.86583,76433147350.50507,Age 30-44
155,2012-12,84943254159.05959,90292107417.17174,Age 45-64
156,2013-01,12606068567.69221,8315473913.131311,Younger than 30
156,2013-01,20218689105.9964,20417082938.88889,Age 65 and older
156,2013-01,82292320492.42097,66603257610.101,Age 30-44
156,2013-01,96551709584.47691,89878635852.52525,Age 45-64
157,2013-02,12435025060.02999,8612175302.020203,Younger than 30
157,2013-02,19312429481.83072,18620326305.55556,Age 65 and older
157,2013-02,76556494186.17943,60635834790.90909,Age 30-44
157,2013-02,89751879888.66736,77839491537.37376,Age 45-64
158,2013-03,11094007869.74158,10342378498.9899,Younger than 30
158,2013-03,18689633809.1904,18936383324.24242,Age 65 and older
158,2013-03,72702428823.91415,66028576464.14142,Age 30-44
158,2013-03,82727450556.02707,82082589150.50507,Age 45-64
159,2013-04,11733466117.20017,11502198599.49495,Younger than 30
159,2013-04,18778884940.54193,18829376017.67677,Age 65 and older
159,2013-04,72752937462.08653,69270571637.87881,Age 30-44
159,2013-04,83763040069.45395,80753931709.59599,Age 45-64
160,2013-05,12069305705.69888,13284936135.35354,Younger than 30
160,2013-05,18281468100.01468,18535213801.51515,Age 65 and older
160,2013-05,71712343145.40648,76364700093.43433,Age 30-44
160,2013-05,84181923382.28764,83231960300.50508,Age 45-64
161,2013-06,10975921645.03081,12761708327.77778,Younger than 30
161,2013-06,17051355477.54111,17057265840.40404,Age 65 and older
161,2013-06,65324316290.4606,75348729103.53537,Age 30-44
161,2013-06,74579373697.31955,78793394803.03029,Age 45-64
162,2013-07,11299628479.47406,12980520886.86869,Younger than 30
162,2013-07,16895907627.0129,17066128068.18182,Age 65 and older
162,2013-07,60480947430.85966,69217516908.58589,Age 30-44
162,2013-07,72598124938.62758,75485565693.43436,Age 45-64
163,2013-08,11093744616.57944,12540983856.0606,Younger than 30
163,2013-08,13265872904.37644,13639889319.69697,Age 65 and older
163,2013-08,52699150346.50464,58893824700.00002,Age 30-44
163,2013-08,57270999203.05081,60975277389.89899,Age 45-64
164,2013-09,10012607783.52495,9839122925.757572,Age 65 and older
164,2013-09,10083892285.77065,10630554745.45454,Younger than 30
164,2013-09,45078728057.31246,45215292513.63636,Age 45-64
164,2013-09,45932901370.12472,46196054386.36365,Age 30-44
165,2013-10,10358964117.76381,10624282450,Age 65 and older
165,2013-10,41653047720.87554,43538580728.28284,Age 30-44
165,2013-10,41844191554.56896,44405733838.38385,Age 45-64
165,2013-10,8840574496.650251,9584095002.525253,Younger than 30
166,2013-11,40161224800.3126,39550914588.88889,Age 45-64
166,2013-11,40840296010.86969,39677875353.53535,Age 30-44
166,2013-11,9278968056.271647,9260460456.565653,Younger than 30
166,2013-11,9366520532.460287,8741999249.494951,Age 65 and older
167,2013-12,39211545228.42311,40767832336.8687,Age 45-64
167,2013-12,41018777717.17633,41043369675.75759,Age 30-44
167,2013-12,8744075586.568197,8720121704.545452,Age 65 and older
167,2013-12,9010217993.977436,9462608202.020206,Younger than 30
168,2014-01,37409543673.39111,33722511167.17173,Age 45-64
168,2014-01,39142717834.25697,30700299832.82828,Age 30-44
168,2014-01,8401686873.037858,8176632160.101013,Age 65 and older
168,2014-01,8886095580.347574,5713828620.20202,Younger than 30
169,2014-02,34364464885.82378,29278576479.79798,Age 45-64
169,2014-02,37398237437.55738,28843976948.98989,Age 30-44
169,2014-02,8047310392.170624,7701778374.242423,Age 65 and older
169,2014-02,8444817301.727053,5865068804.040404,Younger than 30
170,2014-03,36686684663.72765,36521181980.30304,Age 45-64
170,2014-03,38535310078.00735,35346886280.30303,Age 30-44
170,2014-03,8385684869.472386,8533135607.575758,Age 65 and older
170,2014-03,8619195921.088312,8023271846.464649,Younger than 30
171,2014-04,39421666618.11971,38413645860.10101,Age 45-64
171,2014-04,41694587350.93154,41210638225.75758,Age 30-44
171,2014-04,8443445706.926092,8705919498.989901,Age 65 and older
171,2014-04,9187199798.798517,9029791125.252525,Younger than 30
172,2014-05,39211073184.08988,39616314771.71718,Age 45-64
172,2014-05,42817253465.91871,47246901079.29294,Age 30-44
172,2014-05,8929348596.683336,9292097907.070709,Age 65 and older
172,2014-05,9220635847.383545,10260591868.68687,Younger than 30
173,2014-06,10075714809.41412,11863016124.24242,Younger than 30
173,2014-06,41163783786.07855,44700197746.96969,Age 45-64
173,2014-06,43939080889.46408,51814060796.46464,Age 30-44
173,2014-06,8983546444.436625,9217899083.838385,Age 65 and older
174,2014-07,10237342186.83907,11863809748.9899,Younger than 30
174,2014-07,10441825398.13116,10630708305.05051,Age 65 and older
174,2014-07,43717447943.32453,46467553975.25254,Age 45-64
174,2014-07,46706121471.66035,54933427688.88891,Age 30-44
175,2014-08,42353662754.43575,45525470891.9192,Age 45-64
175,2014-08,45095166742.67763,50452250977.77777,Age 30-44
175,2014-08,9273635122.545477,10654272624.24242,Younger than 30
175,2014-08,9491330480.508444,9693758109.595957,Age 65 and older
176,2014-09,44645808006.43076,44948510037.37376,Age 45-64
176,2014-09,47015347683.18002,48067656788.38384,Age 30-44
176,2014-09,9768617543.99666,10329898576.26263,Younger than 30
176,2014-09,9859481499.208061,9920198368.686871,Age 65 and older
177,2014-10,10715958619.44834,11463222478.28283,Younger than 30
177,2014-10,43169442125.54185,45590267386.36364,Age 45-64
177,2014-10,47026254040.53213,47612937087.87878,Age 30-44
177,2014-10,9943125355.106997,9961718933.33333,Age 65 and older
178,2014-11,10456892555.28111,9673467550.505049,Age 65 and older
178,2014-11,10635030444.74617,10386162060.60606,Younger than 30
178,2014-11,44771817013.99145,42855857649.49495,Age 45-64
178,2014-11,50125963210.87588,46793168696.46465,Age 30-44
179,2014-12,11026337003.69352,11486578853.53535,Younger than 30
179,2014-12,11231840936.37289,11217501841.9192,Age 65 and older
179,2014-12,51266992739.94109,52530911143.93941,Age 45-64
179,2014-12,53722560385.61521,53229538422.72728,Age 30-44
180,2015-01,10633983114.76882,10054788130.30303,Age 65 and older
180,2015-01,49367292649.18684,42971336929.29292,Age 45-64
180,2015-01,54665313285.1132,41183098348.48483,Age 30-44
180,2015-01,9919606094.74288,6195981170.707069,Younger than 30
181,2015-02,12701030734.12563,8768081566.161615,Younger than 30
181,2015-02,13738590941.55862,12860238886.86868,Age 65 and older
181,2015-02,62812239204.75117,52197370012.62627,Age 45-64
181,2015-02,76605336419.34119,57115298770.20203,Age 30-44
182,2015-03,13776607590.68333,12840513246.9697,Younger than 30
182,2015-03,15641390110.73074,15943949056.56565,Age 65 and older
182,2015-03,67669450381.27635,67901767370.20204,Age 45-64
182,2015-03,76066268391.67764,70633886333.33333,Age 30-44
183,2015-04,12281845129.38905,12206919272.72727,Younger than 30
183,2015-04,14395728184.67805,14927884111.1111,Age 65 and older
183,2015-04,62963889177.06673,61924578498.98988,Age 45-64
183,2015-04,63651414905.89956,63589112984.34346,Age 30-44
184,2015-05,12203770830.22816,13711357746.9697,Younger than 30
184,2015-05,13193070934.62013,13784550646.46464,Age 65 and older
184,2015-05,60314400508.84258,62001976053.53534,Age 45-64
184,2015-05,63119165397.66757,70649019678.28285,Age 30-44
185,2015-06,12047523594.12025,14452386770.70707,Younger than 30
185,2015-06,13788851507.23375,14313958426.26263,Age 65 and older
185,2015-06,61552469114.81543,67882386256.56568,Age 45-64
185,2015-06,62866735415.86417,75653198688.38383,Age 30-44
